image_id,p_x,p_rot
calib_00000,0.16971999406814575,0.8967000246047974
calib_00001,0.13712000846862793,0.8246999979019165
calib_00002,0.08522999286651611,0.5706700086593628
calib_00003,0.007359981536865234,0.10597002506256104
calib_00004,0.00279998779296875,0.02021998167037964
calib_00005,0.6461499929428101,0.01314997673034668
calib_00006,0.49066001176834106,0.9621999859809875
calib_00007,0.005190014839172363,0.025849997997283936
calib_00008,0.820360004901886,0.35843002796173096
calib_00009,0.9980400204658508,0.9996399879455566
calib_00010,0.5685799717903137,0.728950023651123
calib_00011,0.011170029640197754,0.01789999008178711
calib_00012,0.99617999792099,0.9094700217247009
calib_00013,0.9768999814987183,0.0037000179290771484
calib_00014,0.8858299851417542,0.7791399955749512
calib_00015,0.9988600015640259,1.0013580322265625e-05
calib_00016,0.005959987640380859,0.6664100289344788
calib_00017,0.9604899883270264,0.9924799799919128
calib_00018,2.9981136322021484e-05,0.9722200036048889
calib_00019,0.6103799939155579,0.00270998477935791
calib_00020,0.9825699925422668,0.9964699745178223
calib_00021,0.0017300248146057129,0.13273000717163086
calib_00022,0.0005499720573425293,0.12247002124786377
calib_00023,0.20993000268936157,0.0009300112724304199
calib_00024,0.9849299788475037,0.9964200258255005
calib_00025,0.015600025653839111,0.0007600188255310059
calib_00026,0.0005599856376647949,0.0
calib_00027,0.9760100245475769,0.6740000247955322
calib_00028,0.9854699969291687,0.6802899837493896
calib_00029,0.9629899859428406,0.24357002973556519
calib_00030,0.676289975643158,0.6101599931716919
calib_00031,0.7110599875450134,0.18717002868652344
calib_00032,0.8329700231552124,0.6494100093841553
calib_00033,0.002759993076324463,0.074180006980896
calib_00034,0.08477002382278442,0.1329200267791748
calib_00035,0.0012900233268737793,0.0025699734687805176
calib_00036,0.1293100118637085,0.15109002590179443
calib_00037,0.7560499906539917,0.9592599868774414
calib_00038,0.9997299909591675,3.999471664428711e-05
calib_00039,0.47070997953414917,0.5369200110435486
calib_00040,0.48657000064849854,0.6098200082778931
calib_00041,0.07679998874664307,0.029799997806549072
calib_00042,0.5797399878501892,0.532069981098175
calib_00043,0.9739300012588501,0.25832998752593994
calib_00044,0.12427997589111328,0.3845999836921692
calib_00045,0.05033999681472778,0.98676997423172
calib_00046,0.6675500273704529,0.7548900246620178
calib_00047,0.3808000087738037,0.010479986667633057
calib_00048,0.13178002834320068,0.7339400053024292
calib_00049,0.7450100183486938,0.8289099931716919
calib_00050,0.06433999538421631,0.8217599987983704
calib_00051,0.09302997589111328,0.09688001871109009
calib_00052,0.9823200106620789,0.007979989051818848
calib_00053,0.0,0.9736999869346619
calib_00054,0.002369999885559082,0.1099100112915039
calib_00055,0.006680011749267578,0.006449997425079346
calib_00056,0.010370016098022461,0.22131997346878052
calib_00057,0.9990900158882141,0.003750026226043701
calib_00058,0.004180014133453369,0.7303400039672852
calib_00059,0.24848997592926025,0.2031000256538391
calib_00060,0.7347000241279602,0.8373100161552429
calib_00061,0.0001099705696105957,0.9476400017738342
calib_00062,0.00023001432418823242,0.18671000003814697
calib_00063,0.26899999380111694,0.1008099913597107
calib_00064,0.9458900094032288,0.8067799806594849
calib_00065,0.004809975624084473,0.035740017890930176
calib_00066,0.8593900203704834,0.0153999924659729
calib_00067,0.4398699998855591,0.4528300166130066
calib_00068,0.8557900190353394,0.08323997259140015
calib_00069,0.029340028762817383,0.9501699805259705
calib_00070,2.002716064453125e-05,7.998943328857422e-05
calib_00071,0.6818400025367737,0.27851998805999756
calib_00072,0.8356900215148926,0.7753999829292297
calib_00073,0.04057002067565918,0.9775099754333496
calib_00074,0.14649999141693115,0.24671000242233276
calib_00075,0.3479499816894531,0.5456100106239319
calib_00076,0.10181999206542969,0.5869899988174438
calib_00077,0.2700999975204468,0.847790002822876
calib_00078,0.7367299795150757,0.0022100210189819336
calib_00079,0.003859996795654297,0.0009899735450744629
calib_00080,0.06022000312805176,0.9961900115013123
calib_00081,0.2766900062561035,0.001529991626739502
calib_00082,0.5802000164985657,0.33142000436782837
calib_00083,0.9888100028038025,0.12911999225616455
calib_00084,0.9980499744415283,0.9966700077056885
calib_00085,0.6059100031852722,0.4729999899864197
calib_00086,0.8629099726676941,0.44589000940322876
calib_00087,0.7742599844932556,0.7673199772834778
